StartLatitude,StartLongitude,StartTime,StartNH,EndNH,Covid
38.218,-85.76299999999999,2019-09-18T11:45:00Z,University,University,0
38.253,-85.741,2018-12-03T16:15:00Z,Downtown,Downtown,0
38.255,-85.72,2019-04-29T12:45:00Z,Northeast Core,Downtown,0
38.219,-85.76299999999999,2019-03-08T11:30:00Z,University,West Core,0
38.256,-85.757,2019-09-07T16:15:00Z,Downtown,Downtown,0
38.251,-85.757,2019-01-05T11:15:00Z,Downtown,Downtown,0
38.217,-85.76,2019-04-09T17:45:00Z,University,West Core,0
38.251,-85.758,2019-06-08T10:45:00Z,Downtown,Downtown,0
38.232,-85.708,2019-05-03T20:45:00Z,Southeast Core,Southeast Core,0
38.255,-85.74,2019-07-16T07:00:00Z,Downtown,Downtown,0
38.239,-85.72200000000001,2018-12-15T15:45:00Z,Southeast Core,Southeast Core,0
38.256,-85.74799999999999,2019-09-23T15:00:00Z,Downtown,Downtown,0
38.257,-85.74,2019-06-30T19:45:00Z,Downtown,Downtown,0
38.253,-85.757,2019-08-27T13:00:00Z,Downtown,Downtown,0
38.24,-85.756,2018-10-17T15:30:00Z,Downtown,Downtown,0
38.251,-85.758,2019-08-03T18:00:00Z,Downtown,University,0
38.255,-85.75299999999999,2018-12-12T19:15:00Z,Downtown,Downtown,0
38.205,-85.775,2019-05-04T17:00:00Z,Other,Other,0
38.253,-85.735,2019-07-02T16:00:00Z,Downtown,Downtown,0
38.228,-85.73,2018-12-22T11:15:00Z,Southeast Core,University,0
38.256,-85.749,2019-01-07T13:00:00Z,Downtown,Downtown,0
38.202,-85.759,2019-09-29T15:30:00Z,University,University,0
38.248000000000005,-85.759,2019-10-27T21:00:00Z,Downtown,University,0
38.251,-85.755,2019-08-23T14:45:00Z,Downtown,Downtown,0
38.224,-85.764,2019-07-24T16:45:00Z,West Core,West Core,0
38.258,-85.745,2019-11-10T13:30:00Z,Downtown,Downtown,0
38.226,-85.76,2020-02-06T17:15:00Z,University,University,0
38.257,-85.76299999999999,2019-07-24T15:30:00Z,Downtown,Downtown,0
38.218,-85.76299999999999,2019-05-20T10:15:00Z,University,West Core,0
38.253,-85.75200000000001,2019-09-21T06:45:00Z,Downtown,Downtown,0
38.246,-85.758,2018-09-11T10:45:00Z,Downtown,Downtown,0
38.255,-85.745,2019-06-01T17:15:00Z,Downtown,Downtown,0
38.257,-85.76100000000001,2019-06-13T03:45:00Z,Downtown,Other,0
38.255,-85.751,2019-06-15T11:00:00Z,Downtown,Downtown,0
38.25,-85.74600000000001,2019-05-16T12:45:00Z,Downtown,Downtown,0
38.257,-85.75299999999999,2019-06-28T17:15:00Z,Downtown,Downtown,0
38.257,-85.762,2019-06-14T19:00:00Z,Downtown,Downtown,0
38.254,-85.74700000000001,2018-09-07T18:15:00Z,Downtown,Downtown,0
38.219,-85.76,2019-05-16T15:45:00Z,University,University,0
38.258,-85.749,2018-10-11T13:00:00Z,Downtown,Downtown,0
38.237,-85.719,2019-08-14T20:30:00Z,Southeast Core,Southeast Core,0
38.258,-85.76299999999999,2019-06-06T12:00:00Z,Downtown,Downtown,0
38.247,-85.73,2019-06-29T09:45:00Z,Northeast Core,Downtown,0
38.219,-85.762,2019-02-04T07:45:00Z,University,University,0
38.253,-85.759,2019-06-12T12:45:00Z,Downtown,Downtown,0
38.249,-85.757,2019-09-04T06:45:00Z,Downtown,Downtown,0
